"","L","X","V","L_3","X_3","V_3","Porcentaje 1","Porcentaje 2","Rank1","Rank2","Tendencia_L","Tendencia_V","Victoria"
"232",1,2,2,1,1,1,63,16,1,19,70,50,"1"
"233",1,0,0,1,0,0,57,19,11,12,40,50,"2"
"234",3,1,1,2,1,0,50,22,5,15,80,50,"1"
"235",2,0,3,1,0,2,41,29,14,18,60,35,"X"
"236",3,1,1,1,1,1,45,25,17,13,50,15,"1"
"237",3,2,0,1,2,0,44,28,4,6,50,40,"2"
"238",2,1,2,1,0,2,36,37,9,5,25,75,"X"
"239",0,1,4,0,0,3,40,33,15,3,60,90,"X"
"240",3,0,2,2,0,1,55,20,8,12,60,40,"2"
"241",1,1,1,1,1,1,32,37,20,7,20,20,"X"
"242",2,1,2,2,1,0,40,32,11,16,95,5,NA
"243",0,2,1,0,2,1,20,59,11,5,70,55,"X"
"244",2,0,3,2,0,1,36,35,7,3,45,90,"X"
"245",3,2,0,3,0,0,59,19,6,12,50,20,"1"
"246",0,2,1,0,2,1,36,36,10,4,60,90,"1"
"247",1,2,2,1,1,1,33,41,16,1,10,85,"2"
"248",2,1,1,1,1,1,54,21,9,14,100,50,"1"
"249",3,1,0,2,1,0,53,22,6,19,70,60,"2"
"250",3,1,1,2,1,0,59,18,5,14,70,50,"1"
"251",2,0,3,1,0,2,38,35,10,4,20,25,"2"
"252",1,1,3,1,1,1,36,35,16,9,10,40,"1"
"253",4,1,0,3,0,0,45,26,3,13,75,70,"2"
"254",0,0,5,0,0,3,30,44,18,1,40,100,"1"
"255",1,1,3,1,0,2,43,27,7,15,30,55,"1"
"256",1,3,1,0,2,1,42,30,12,11,65,95,"X"
"257",1,2,2,1,0,2,44,30,17,8,5,30,"X"
"258",3,0,2,2,0,1,44,27,10,6,20,50,"X"
"259",4,0,1,3,0,0,52,23,4,16,50,35,"1"
"260",3,2,0,2,1,0,71,12,1,5,60,80,"1"
"261",2,1,2,1,1,1,41,26,17,7,25,55,"1"
"262",0,0,0,0,0,0,44,28,19,18,75,35,"1"
"263",0,2,3,0,1,2,40,33,9,3,65,45,"1"
"264",3,1,1,1,1,1,44,29,8,11,40,60,"2"
"265",1,2,1,1,1,1,25,49,20,15,15,65,"2"
"266",2,2,1,1,1,1,45,23,13,14,10,45,"2"
"267",1,1,1,1,1,1,25,50,11,4,65,70,"2"
"268",0,1,4,0,1,2,66,15,1,15,90,60,"1"
"269",2,2,1,2,0,1,47,26,2,5,80,60,"2"
"270",0,1,2,0,1,2,75,9,6,18,50,15,"X"
"271",2,2,1,1,2,0,46,26,17,19,0,20,"X"
"272",2,0,3,1,0,2,40,32,13,8,80,75,"2"
